Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,FailureType,FailureTypeLabel,RUL
M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,NoFailure,1,25
L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,NoFailure,1,22
M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,NoFailure,1,20
L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,NoFailure,1,17
M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,NoFailure,1,15
L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,NoFailure,1,12
L47464,L,298.2,308.3,2051,19.2,90,0,0,0,0,0,0,NoFailure,1,10
L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,NoFailure,1,8
L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,NoFailure,1,6
L47467,L,298.2,308.3,1805,31.6,96,0,0,0,0,0,0,NoFailure,1,4
H29702,H,298.2,308.4,1385,42.2,98,0,0,0,0,0,0,NoFailure,1,2
L47469,L,298.1,308.4,1436,46.7,103,0,0,0,0,0,0,NoFailure,1,0
L47470,L,298.1,308.4,1438,45.6,105,0,0,0,0,0,0,NoFailure,1,0
L47471,L,298.0,308.3,1473,42.6,107,0,0,0,0,0,0,NoFailure,1,0
L47472,L,298.1,308.4,1335,40.2,109,0,0,0,0,0,0,NoFailure,1,0
H29707,H,298.1,308.5,1392,44.8,111,0,0,0,0,0,0,NoFailure,1,0
M15154,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,NoFailure,1,0
M15155,M,298.1,308.6,1716,30.7,119,0,0,0,0,0,0,NoFailure,1,0
L47476,L,298.0,308.5,1395,46.2,122,0,0,0,0,0,0,NoFailure,1,0
L47477,L,298.0,308.5,1713,25.3,124,0,0,0,0,0,0,NoFailure,1,0
H29712,H,297.9,308.5,2129,18.7,126,0,0,0,0,0,0,NoFailure,1,0
M15159,M,297.8,308.3,1567,35.6,131,0,0,0,0,0,0,NoFailure,1,0
L47480,L,297.8,308.4,1622,38.3,134,0,0,0,0,0,0,NoFailure,1,0
L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,NoFailure,1,0
H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,NoFailure,1,0
M15163,M,297.8,308.4,1479,43.5,143,0,0,0,0,0,0,NoFailure,1,0
L47484,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,NoFailure,1,0
L47485,L,297.8,308.4,2129,19.2,148,0,0,0,0,0,0,NoFailure,1,0
L47486,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,NoFailure,1,0
